nvLLLAPMQkeefhjhkijlmmlmcvxumvqcsqdgfr_1202011110220 F0 1 G 1 N 1 [2] [8,3,2] Z []
nvLLLLPQQkegfjilkjmkjlmmgeeiwvgohfkfma_2100100211221 F0 1 G 1 N 1 [2] [8,4,1] Z []
nvLLvPMQQkefjklhmiljlkmmcamaggacgccwxl_0111122200221 F0 1 G 1 N 1 [2] [8,4,1] Z ['K12n640']
nvLLwPLQQkefgijkilmimlmlcaemabbaachhhh_0111122202200 F1 1 G 1 N 1 [2] [10,0,3] Z ['K13n3960']
nvLLwwQPQkefghjkilkmkmlmcaetvbvjgececq_0111122200220 F0 1 G 1 N 1 [2] [8,2,3] Z []
nvLPLLwQQkegffhklmkmllmkghhhaghhbuuuub_1222211100100 F0 1 G 1 N 1 [2] [4,4,5] Z ['K14n26185']
nvLPwAPLQkegfdihkjmlmllmcaavaaaaaawwww_0111122221111 F0 1 G 2 N 1 [2] [4,8,1] Z ['K14n18079']
nvLvLLQQQkeikhlimijkmlkmgaiwggvggorkko_1222211010001 F0 1 G 1 N 1 [2] [8,1,4] Z ['K14n14269']
nvLvMALQQkcgffihjklmmllmkaaaakcghdaiad_1020212112120 F0 1 G 1 N 1 [2] [4,0,9] Z ['o9_22199']
nvvLAALQQkfgifilkimjklmmaapptffgakffpp_0112220220111 F0 1 G 1 N 1 [2] [6,4,3] Z ['K14n18363']
nvvLAAPPQkghhffijmkllkmmmdaaagoaggkkdd_1020212212000 F0 1 G 1 N 1 [2] [8,2,3] Z ['K14n18372']
nvvLALMQQkhfihklilkjmlmmaamaajgjjcacuu_0221111010002 F0 1 G 1 N 1 [2] [4,0,9] Z ['o9_30499','K14n21324']
oLLLAwPPLQccegfggkiljmnmnnqqqaqoadffxxaxc_12220111122011 F0 1 G 1 N 1 [2] [6,1,7] Z []
oLLvAvPAQQccdfeihjmlknnmmnhsahanahoshhgbh_12220111222201 F1 1 G 1 N 1 [2] [8,2,4] Z []
oLLvLMMzQQccdigkjimjnnnlmmhsvbasvagthkjso_10001211210102 F0 1 G 1 N 1 [2] [8,4,2] Z []
oLLvMwvQQQccdfignijmlmmnlnhsasbabpdrvvbrb_12220111022202 F1 1 G 1 N 1 [2] [6,2,6] Z []
oLLvvMwQQQcbegihmnjlkmnlmnxxvvghufacllahv_21112002020112 F0 1 G 1 N 1 [2] [6,4,4] Z []
oLLvzzPPQQccdeiklljnmlnmnmqrqvdqauaqaffoo_02221000022122 F1 1 G 1 N 1 [2] [8,4,2] Z []
oLvLvAAQPQcbfghjkiminllnmnhtgjvgfakammljf_12000011221101 F0 1 G 1 N 1 [2] [8,6,0] Z ['K12n329']
oLvvvAQMQQcbjkihmlhnkmlnmnxvjfvargafxbxax_01110022020211 F0 1 G 1 N 1 [2] [6,5,3] Z []
oLvwMPLLQQcbegfggillknmlnnhehprwfxwcwwbnk_21112202211100 F0 1 G 2 N 1 [2] [10,3,1] Z []
oLvwMPLzQQcbegfggimlkmmnnnhehprwfhwcrwwrw_21112202211101 F0 1 G 4 N 1 [2] [8,4,2] Z []
oLvwMPvQAQcbegfggkjlmlnlnnhehprwqxxawabti_12000022211012 F0 1 G 4 N 1 [2] [12,0,2] Z []
ovLALvAAQQccdfhiklkmjmnlnnffaljjebebmaejj_02222001111110 F0 1 G 1 N 1 [2] [8,4,2] Z []
ovLLvPLQQQcefjkmkimnjljnnmcamatgcaacccttt_01111222002200 F0 1 G 1 N 1 [2] [10,3,1] Z ['K12n694']
ovLvAQLwQQcchigfjlknmkmnmnbuaadqadauuucvb_12222111100202 F0 1 G 1 N 1 [2] [6,1,7] Z []
ovLvAzQLQQccifghkjmnlnlnmmntiigfbuababpaa_10000111112100 F0 1 G 1 N 1 [2] [10,4,0] Z ['K12n417']
ovLvLLQAQQceikhjimikmnlnmngaiwwgvgorlfpop_12222110100010 F0 1 G 1 N 1 [2] [8,2,4] Z ['K14n24565']
ovLvLMMMQQcchjkgjlmnjlnnmmwauurwcltrfhtld_20110220220101 F0 1 G 1 N 1 [2] [10,3,1] Z []
ovLvLPAQMQceihkklhmjlmnknngatigggagkhukdg_12222110100022 F0 1 G 2 N 1 [2] [8,0,6] Z ['11_205','K11n77']
ovLvLvQQQQccflnjkmlkmnmjlnnavbvfnvovcckjc_10000111122221 F0 1 G 1 N 1 [2] [8,3,3] Z ['K14n17191']
ovvLALLQQQchfihkikljnmlmnnaamaogokcaccbpp_02211110100222 F1 1 G 1 N 1 [2] [8,0,6] Z []
